ICO,ZUJ_kod,ZUJ_nazev,Obec_kod,Obec_nazev,ORP_kod,ORP_nazev,PF_kod,PF_nazev
00035513,573523,Staré Smrkovice,573523,Staré Smrkovice,5204,Hořice,801,Obec nebo městská část hlavního města Prahy
00038113,580147,Libchavy,580147,Libchavy,5313,Ústí nad Orlicí,801,Obec nebo městská část hlavního města Prahy
00038130,580325,Sloupnice,580325,Sloupnice,5307,Litomyšl,801,Obec nebo městská část hlavního města Prahy
00042188,584363,Brumovice,584363,Brumovice,6207,Hustopeče,801,Obec nebo městská část hlavního města Prahy
00064581,500054,Praha 1,554782,Praha,1000,Praha,804,Kraj
00075370,546003,Plzeň 3,554791,Plzeň,3209,Plzeň,801,Obec nebo městská část hlavního města Prahy
00075566,563315,Kryštofovy Hamry,563315,Kryštofovy Hamry,4204,Kadaň,801,Obec nebo městská část hlavního města Prahy
00081531,567892,Ústí nad Labem-město,554804,Ústí nad Labem,4214,Ústí nad Labem,801,Obec nebo městská část hlavního města Prahy
00084409,596345,Osová Bítýška,596345,Osová Bítýška,6114,Velké Meziříčí,801,Obec nebo městská část hlavního města Prahy
00104051,595187,Žerotice,595187,Žerotice,6220,Znojmo,801,Obec nebo městská část hlavního města Prahy
00170551,573663,Údrnice,573663,Údrnice,5207,Jičín,801,Obec nebo městská část hlavního města Prahy
00179591,568619,Druhanov,568619,Druhanov,6111,Světlá nad Sázavou,801,Obec nebo městská část hlavního města Prahy
00179612,573566,Bělá,573566,Bělá,6111,Světlá nad Sázavou,801,Obec nebo městská část hlavního města Prahy
00179639,573574,Chřenovice,573574,Chřenovice,6111,Světlá nad Sázavou,801,Obec nebo městská část hlavního města Prahy
00179671,573582,Víska,573582,Víska,6104,Chotěboř,801,Obec nebo městská část hlavního města Prahy
00179680,573558,Boňkov,573558,Boňkov,6102,Havlíčkův Brod,801,Obec nebo městská část hlavního města Prahy
00179761,573591,Pohleď,573591,Pohleď,6111,Světlá nad Sázavou,801,Obec nebo městská část hlavního města Prahy
00179779,573604,Služátky,573604,Služátky,6111,Světlá nad Sázavou,801,Obec nebo městská část hlavního města Prahy
00190187,574163,Hynčice,574163,Hynčice,5201,Broumov,801,Obec nebo městská část hlavního města Prahy
00190900,574198,Spojil,574198,Spojil,5309,Pardubice,801,Obec nebo městská část hlavního města Prahy
00191159,553719,Srnojedy,553719,Srnojedy,5309,Pardubice,801,Obec nebo městská část hlavního města Prahy
00194514,574309,Bezděčí u Trnávky,574309,Bezděčí u Trnávky,5308,Moravská Třebová,801,Obec nebo městská část hlavního města Prahy
00194549,578142,Janůvky,578142,Janůvky,5308,Moravská Třebová,801,Obec nebo městská část hlavního města Prahy
00194557,578371,Malíkov,578371,Malíkov,5308,Moravská Třebová,801,Obec nebo městská část hlavního města Prahy
00194611,574325,Gruna,574325,Gruna,5308,Moravská Třebová,801,Obec nebo městská část hlavního města Prahy
00194646,574333,Radkov,574333,Radkov,5308,Moravská Třebová,801,Obec nebo městská část hlavního města Prahy
00207381,592846,Záhorovice,592846,Záhorovice,7208,Uherský Brod,801,Obec nebo městská část hlavního města Prahy
