RED_IZO,SURAD,RED_MISTO,Obec_kod,ZUJ_kod
600000346,3201,petroupim,530409,530409
600000354,3201,kladruby,533084,533084
600000354,3201,kladruby,559920,559920
600000354,3201,kladruby,560405,560405
600000354,3201,kladruby,560928,560928
600000354,3201,kladruby,567604,567604
600000362,3202,beroun,531057,531057
600000371,3203,kladno,532053,532053
600000371,3203,kladno,571580,571580
600000397,3206,neratovice,535087,535087
600000427,3207,řepov,536580,536580
600000435,3207,bradlec,570788,570788
600000443,3207,mladá boleslav,535419,535419
600000451,3301,české budějovice,544256,544256
600000460,3301,české budějovice,544256,544256
600000478,3301,české budějovice,544256,544256
600000494,3304,pacov,548511,548511
600001695,3804,kopřivnice,599565,599565
600001709,3805,olomouc,500496,500496
600001717,3806,hradec nad moravicí,507270,507270
600001725,3807,ostrava,554821,545911
600001725,3807,ostrava,554821,546046
600001725,3807,ostrava,554821,546135
600001725,3807,ostrava,554821,546224
600001725,3807,ostrava,554821,554219
600001725,3807,ostrava,554821,554227
600001725,3807,ostrava,554821,554235
600001725,3807,ostrava,554821,554243
600001725,3807,ostrava,554821,554286
600001725,3807,ostrava,554821,554308
600001725,3807,ostrava,554821,554324
600001725,3807,ostrava,554821,554332
600001725,3807,ostrava,554821,554367
600001725,3807,ostrava,554821,554375
600001725,3807,ostrava,554821,554430
600001725,3807,ostrava,554821,554537
600001725,3807,ostrava,554821,554561
600001725,3807,ostrava,554821,554570
600001725,3807,ostrava,554821,554588
600001725,3807,ostrava,554821,554669
600001725,3807,ostrava,554821,554685
600001725,3807,ostrava,554821,554715
600001725,3807,ostrava,554821,554723
600001733,3807,ostrava,554821,545911
600001733,3807,ostrava,554821,546046
600001733,3807,ostrava,554821,546135
600001733,3807,ostrava,554821,546224
600001733,3807,ostrava,554821,554219
600001733,3807,ostrava,554821,554227
600001733,3807,ostrava,554821,554235
600001733,3807,ostrava,554821,554243
600001733,3807,ostrava,554821,554286
600001733,3807,ostrava,554821,554308
600001733,3807,ostrava,554821,554324
600001733,3807,ostrava,554821,554332
600001733,3807,ostrava,554821,554367
600001733,3807,ostrava,554821,554375
600001733,3807,ostrava,554821,554430
600001733,3807,ostrava,554821,554537
600001733,3807,ostrava,554821,554561
600001733,3807,ostrava,554821,554570
600001733,3807,ostrava,554821,554588
600001733,3807,ostrava,554821,554669
600001733,3807,ostrava,554821,554685
600001733,3807,ostrava,554821,554715
600001733,3807,ostrava,554821,554723
600001741,3808,lipník nad bečvou,514705,514705
600001750,3808,přerov,511382,511382
600001768,3809,mohelnice,540471,540471
600001768,3809,mohelnice,558079,558079
600001776,3809,šumperk,523704,523704
600001784,3810,valašské meziříčí,545058,545058
600001792,3810,vsetín,541630,541630
600001806,3810,rožnov pod radhoštěm,544841,544841
600002560,3308,veselí nad lužnicí,553271,553271
600002578,3308,soběslav,553131,553131
600002586,3308,tábor,552046,552046
600002594,3308,sezimovo ústí,553069,553069
